PLOTNR_;POINT_X;POINT_Y;Comment;GPS_Date;GPS_Time;GPS_Height;Horz_Prec;PLOTNR_;Dist2Ideal
H1;590105.35;6238789.86;bla;01-12-2009;09:49:46am;12.763;00.09;H1;0.000172506
H2;590103.06;6238893.80;1;01-12-2009;09:56:51am;12.266;00.09;H2;0.000056627
H3;590109.77;6238996.44;1;01-12-2009;10:04:31am;5.501;01.03;H3;0.000059747
H4;590111.81;6239088.20;4;01-12-2009;10:15:41am;10.026;00.09;H4;0.000020299
H5;590106.81;6239194.25;3;01-12-2009;10:22:51am;9.417;01.00;H5;0.000085259
H6;590102.68;6239297.18;2;01-12-2009;10:34:36am;10.350;01.02;H6;0.000010011
H7;590110.59;6239401.60;1;01-12-2009;10:38:16am;9.050;01.05;H7;0.000095241
H8;590206.67;6238692.01;2 pael vaek;01-12-2009;01:07:31pm;28.370;01.05;H8;0.000039644
H9;590208.13;6238809.08;4;01-12-2009;12:59:31pm;32.560;01.06;H9;0.000015854
H10;590201.18;6238896.05;2 pael vaek;01-12-2009;12:48:51pm;18.298;01.00;H10;0.000142497
H11;590201.07;6239000.35;1;01-12-2009;12:37:56pm;17.895;00.08;H11;0.000071573
H12;590205.64;6239083.47;4;01-12-2009;12:32:36pm;15.807;00.09;H12;0.000057883
H13;590199.36;6239195.73;3;01-12-2009;11:15:51am;20.954;01.05;H13;0.000125239
H14;590198.22;6239280.00;4;01-12-2009;11:07:21am;13.188;01.02;H14;0.000308640
H15;590199.42;6239393.59;4;01-12-2009;10:54:01am;14.568;02.04;H15;0.000051813
H16;590199.87;6239483.46;2;01-12-2009;10:45:36am;13.911;01.02;H16;0.000102692
H17;590311.31;6238593.09;2 pael vaek;01-12-2009;01:18:26pm;22.266;01.01;H17;0.000156927
H18;590301.20;6238709.63;1;01-12-2009;01:24:06pm;31.798;02.04;H18;0.000101779
H19;590308.23;6238791.70;1;01-12-2009;01:29:21pm;20.413;01.07;H19;0.000116050
H20;590305.63;6238893.07;1;01-12-2009;01:35:11pm;19.004;01.03;H20;0.000156974
H21;590306.98;6238990.20;1;01-12-2009;01:40:06pm;19.539;01.06;H21;0.000105745
H22;590304.85;6239096.50;1;01-12-2009;01:48:46pm;18.257;02.07;H22;0.000067276
H23;590308.37;6239192.75;2 pael vaek;01-12-2009;01:59:01pm;16.714;01.05;H23;0.000054897
H24;590279.56;6239274.76;1;01-12-2009;02:03:16pm;17.517;01.00;H24;0.000125532
H25;590304.76;6239392.19;1 pael vaeltet;01-12-2009;02:11:41pm;22.281;01.04;H25;0.000295933
H26;590303.91;6239489.30;4;01-12-2009;02:22:06pm;15.627;00.08;H26;0.000066200
H27;590317.78;6239574.77;4;01-12-2009;02:32:21pm;12.206;00.07;H27;0.000075733
H28;590300.68;6239694.99;1;01-12-2009;02:40:51pm;4.615;00.09;H28;0.000406964
H29;590399.20;6238503.32;4;02-12-2009;10:00:26am;21.496;01.00;H29;0.000056439
H30;590405.56;6238593.01;1;02-12-2009;09:50:11am;33.363;01.03;H30;0.000214617
H31;590411.84;6238693.60;4;02-12-2009;09:43:56am;19.670;01.00;H31;0.000148966
H32;590396.27;6238794.29;4;02-12-2009;09:25:06am;23.259;01.01;H32;0.000114432
H33;590404.87;6238900.52;2 pael liggende;02-12-2009;09:14:51am;18.582;00.08;H33;0.000078930
H34;590401.87;6238992.33;1;02-12-2009;09:08:11am;28.402;01.00;H34;0.000156059
H35;590409.38;6239096.88;1;02-12-2009;09:01:51am;20.400;01.02;H35;0.000066257
H36;590408.75;6239188.44;1;02-12-2009;08:53:01am;20.079;01.02;H36;0.000160372
H37;590397.27;6239290.56;1;02-12-2009;08:46:31am;20.923;00.09;H37;0.000063473
H38;590400.66;6239408.70;4;02-12-2009;08:37:06am;21.077;01.04;H38;0.000272391
H39;590408.01;6239496.38;2;01-12-2009;03:05:21pm;24.231;01.00;H39;0.000130302
H40;590416.14;6239602.40;4;01-12-2009;02:56:51pm;17.240;00.06;H40;0.000093315
H41;590412.06;6239700.53;2;01-12-2009;02:49:36pm;17.229;01.01;H41;0.000038515
H42;590491.84;6238488.15;4;02-12-2009;10:13:26am;14.498;01.01;H42;0.000360891
H43;590518.07;6238591.25;1;02-12-2009;10:19:51am;24.190;01.04;H43;0.000235886
