pole-id;plot;id_check;standcode;trees;total;sq1;sq2;sq3;sq4;unident;area;perimeter;shapeindex;age;class;slope;aspect;altitude;soilcode;clayCont;type;ndi;open;road;alnall;conmed;conold;fagmed;fagold;quemed;queold;numNeed;numFag;numQue;numAln;numTotal;areaNeed;areaFag;areaQuer;areaAln;areaTotal;numDec;numCon;strdiv
901-388;H1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
901-389;H2;901-389;941a1;2;16;7;1;8;14;0;1.3;768.4;1.9;35;quer.med;10.27;265.74;10;33K;5;K;28.57;0;0.84;0;0;0;0;0.7;74.2;24.27;0;675;250;0;925;0;12.45;6.89;0;19.33;5;0;1
901-390;H3;901-390;941a1;4;25;10;4;11;10;3;1.3;768.4;1.9;35;quer.med;40.46;293.28;5;43;5;0;35.71;0;0;0;0;0;0;0;55.2;44.81;0;175;925;150;1250;0;15.45;11.35;4.14;30.93;12;0;2
901-391;H4;901-391;941a1;5;20;13;1;6;7;0;1.3;768.4;1.9;35;quer.med;0;-1;2.5;43;5;0;14.29;0;0;0;0;0;0;0;87.31;12.69;300;0;475;0;775;0.93;0;15.72;0;16.65;12;0;1
901-392;H500;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
901-393;H6;901-393;942c;5;26;13;4;9;7;4;1.36;727.3;1.8;193;fagu.old;10.03;306.21;7.5;33K;5;K;59.64;0;22.39;0;0;0;15.59;62.03;0;0;75;50;150;0;275;0.09;26.91;0.3;0;27.3;2;0;2
901-394;H7;901-394;942c;2;12;7;1;4;6;3;1.36;727.3;1.8;193;fagu.old;16.5;293.4;0;43;5;0;4.64;2.16;1.4;0;0;0;0;96.44;0;0;0;550;100;0;650;0;14.96;25.01;0;39.98;12;0;1
902-387;H8;902-387;937b;4;17;8;2;7;9;1;1.61;813.1;1.8;100;quer.old;27.51;233.24;17.5;43;5;0;23.93;0;0;0;0;0;0;0;30.47;69.53;175;225;275;0;675;0.35;22.18;2.26;0;24.79;7;0;1.5
902-388;H9;902-388;937a;4;18;4;4;10;6;0;1.5;973.1;2.2;36;quer.med;7.81;3.54;15;43;15;0;7.14;0;0;0;0;0;7.78;0;92.23;0;600;0;525;0;1125;2.53;0;12.31;0;14.84;7;0;2
902-389;H10;902-389;937c1;3;14;8;1;5;7;2;0.66;328.3;1.1;56;fagu.old;5.62;300.2;12.5;43;15;0;7.14;0;3.87;0;0;0;0;96.13;0;0;0;475;0;0;475;0;23.92;0;0;23.92;8;0;1
